"Promotion name",Discount,"Coupon code","Serial Code","Coupon quantity","Coupons used","Coupon expiration"
"Algerie Telecom",100%,3675374882945370,0624000000029911,1,0,"01 Jun 2024"
"Algerie Telecom",100%,1007728856062455,0624000000021404,1,1,"01 Jun 2024"
"Algerie Telecom",100%,6377216889125107,0624000000006800,1,1,"01 Jun 2024"
"Algerie Telecom",100%,8148183056952978,0624000000023386,1,1,"01 Jun 2024"
"Algerie Telecom",100%,3387642964128752,0624000000022556,1,0,"01 Jun 2024"
"Algerie Telecom",100%,3998158392582757,0624000000000647,1,0,"01 Jun 2024"
"Algerie Telecom",100%,6265570429589602,0624000000026327,1,0,"01 Jun 2024"
"Algerie Telecom",100%,6042480917229527,0624000000013776,1,1,"01 Jun 2024"
"Algerie Telecom",100%,8103948841177510,0624000000007844,1,1,"01 Jun 2024"
"Algerie Telecom",100%,2545301083546776,0624000000007125,1,0,"01 Jun 2024"
"Algerie Telecom",100%,2211090837878236,0624000000032214,1,0,"01 Jun 2024"
"Algerie Telecom",100%,4546598008887090,0624000000019535,1,0,"01 Jun 2024"
"Algerie Telecom",100%,6575389603762316,0624000000027860,1,0,"01 Jun 2024"
"Algerie Telecom",100%,6816329112296096,0624000000006742,1,0,"01 Jun 2024"
"Algerie Telecom",100%,5813754074202275,0624000000026649,1,1,"01 Jun 2024"
"Algerie Telecom",100%,8888127539796170,0624000000030334,1,0,"01 Jun 2024"
"Algerie Telecom",100%,9346307600152204,0624000000041686,1,0,"01 Jun 2024"
"Algerie Telecom",100%,9504404815470518,0624000000037950,1,0,"01 Jun 2024"
"Algerie Telecom",100%,4405205233090240,0624000000028602,1,0,"01 Jun 2024"
"Algerie Telecom",100%,3827928525553470,0624000000009991,1,0,"01 Jun 2024"
"Algerie Telecom",100%,8781169148906354,0624000000036023,1,1,"01 Jun 2024"
"Algerie Telecom",100%,7548648286572128,0624000000040725,1,0,"01 Jun 2024"
"Algerie Telecom",100%,6356940868358763,0624000000033510,1,0,"01 Jun 2024"
"Algerie Telecom",100%,8519987595193709,0624000000046477,1,0,"01 Jun 2024"
"Algerie Telecom",100%,1827361228071160,0624000000030256,1,1,"01 Jun 2024"
"Algerie Telecom",100%,5551994831598945,0624000000032142,1,0,"01 Jun 2024"
"Algerie Telecom",100%,7281330942341739,0624000000003932,1,0,"01 Jun 2024"
"Algerie Telecom",100%,9176263542424292,0624000000046206,1,0,"01 Jun 2024"
"Algerie Telecom",100%,7641516633123367,0624000000030302,1,0,"01 Jun 2024"
"Algerie Telecom",100%,9603293865204411,0624000000023999,1,0,"01 Jun 2024"
"Algerie Telecom",100%,4720670433707457,0624000000027232,1,0,"01 Jun 2024"
"Algerie Telecom",100%,1329238283296252,0624000000003061,1,0,"01 Jun 2024"
"Algerie Telecom",100%,1052799070600671,0624000000030838,1,1,"01 Jun 2024"
"Algerie Telecom",100%,9839315871498829,0624000000047086,1,0,"01 Jun 2024"
"Algerie Telecom",100%,8695484823252188,0624000000015674,1,0,"01 Jun 2024"
"Algerie Telecom",100%,6119165359345047,0624000000024459,1,0,"01 Jun 2024"
"Algerie Telecom",100%,8680798151253790,0624000000002626,1,0,"01 Jun 2024"
"Algerie Telecom",100%,6257727727336709,0624000000007410,1,0,"01 Jun 2024"
"Algerie Telecom",100%,6827245137182586,0624000000045408,1,0,"01 Jun 2024"
"Algerie Telecom",100%,1867266162773001,0624000000045780,1,0,"01 Jun 2024"
"Algerie Telecom",100%,3997432601377220,0624000000045267,1,0,"01 Jun 2024"
"Algerie Telecom",100%,1030251771210583,0624000000038613,1,0,"01 Jun 2024"
"Algerie Telecom",100%,3624019320926094,0624000000026755,1,0,"01 Jun 2024"
